family,horizon,calibration_n,mae_macro,mae_worst,mase_macro,nmae_train_range_macro
CU,1,0,2.085507999003047,5.465687027257805,4.83054279756958,0.16198907854341155
CU,1,64,9.628811941424612,111.77692324473438,5.760935518038825,0.1532705021652308
CU,1,256,4.911113915758649,48.276520331815995,2.9073204478543535,0.08243276734606027
CU,1,1024,2.579075531978541,13.997254910764186,1.600226358778776,0.05498569780952865
CU,8,0,2.0725873902520426,5.397329991154784,4.800813611860418,0.16111163685444382
CU,8,64,16.90635923406436,149.6796499782998,8.587780861903125,0.22119708997404663
CU,8,256,6.253468864001722,54.36391277101145,3.387290033029696,0.0948030797935478
CU,8,1024,2.4998465654932063,13.726231558935938,1.5376385936354333,0.05403937433757246
UM,1,0,29170247404.21104,64694074666.73639,1453.416213664074,27.170253973009835
UM,1,64,4726679949.483092,59234202083.4852,20.374144048311173,0.3226209507433341
UM,1,256,1719965489.6625226,18528716161.969627,7.6572373169065555,0.12857978293848235
UM,1,1024,640459153.0271982,5096609525.343239,3.2090913807990877,0.061837501277472964
UM,8,0,29172626840.339897,64714580327.56871,1453.6601673769396,27.174859593994626
UM,8,64,5067502375.027776,81192390960.75215,21.884092980133488,0.3731894114472866
UM,8,256,1746614381.3839366,25561102430.21479,7.86150563336325,0.14179628905036312
UM,8,1024,610792733.7084234,6514447661.950598,3.1284922362784098,0.06290489789296175
