target,horizon,outer_fold,router,selected,constituent,selected_flag
machine06_CU,4,outer_0,regime,per_timestep,lightgbm,0.8370446646930106
machine06_CU,8,outer_0,static,lightgbm,persistence,0.0
machine06_CU,8,outer_0,static,lightgbm,ewma,0.0
machine06_CU,8,outer_0,static,lightgbm,ridge,0.0
machine06_CU,8,outer_0,static,lightgbm,lightgbm,1.0
machine06_CU,8,outer_0,regime,per_timestep,persistence,0.022181865352185758
machine06_CU,8,outer_0,regime,per_timestep,ewma,0.008561421714878713
machine06_CU,8,outer_0,regime,per_timestep,ridge,0.19315086262809703
machine06_CU,8,outer_0,regime,per_timestep,lightgbm,0.7761058503048385
machine06_CU,16,outer_0,static,lightgbm,persistence,0.0
machine06_CU,16,outer_0,static,lightgbm,ewma,0.0
machine06_CU,16,outer_0,static,lightgbm,ridge,0.0
machine06_CU,16,outer_0,static,lightgbm,lightgbm,1.0
machine06_CU,16,outer_0,regime,per_timestep,persistence,0.01726182632757939
machine06_CU,16,outer_0,regime,per_timestep,ewma,0.012781657662406114
machine06_CU,16,outer_0,regime,per_timestep,ridge,0.05099486098300171
machine06_CU,16,outer_0,regime,per_timestep,lightgbm,0.9189616550270128
cluster_UM,1,outer_0,static,lightgbm,persistence,0.0
cluster_UM,1,outer_0,static,lightgbm,ewma,0.0
cluster_UM,1,outer_0,static,lightgbm,ridge,0.0
cluster_UM,1,outer_0,static,lightgbm,lightgbm,1.0
cluster_UM,1,outer_0,regime,per_timestep,persistence,0.5436201063315611
cluster_UM,1,outer_0,regime,per_timestep,ewma,0.07346544224262928
cluster_UM,1,outer_0,regime,per_timestep,ridge,0.011962300628322861
cluster_UM,1,outer_0,regime,per_timestep,lightgbm,0.3709521507974867
cluster_UM,4,outer_0,static,lightgbm,persistence,0.0
cluster_UM,4,outer_0,static,lightgbm,ewma,0.0
cluster_UM,4,outer_0,static,lightgbm,ridge,0.0
cluster_UM,4,outer_0,static,lightgbm,lightgbm,1.0
cluster_UM,4,outer_0,regime,per_timestep,persistence,0.576695273782183
cluster_UM,4,outer_0,regime,per_timestep,ewma,0.057778315000604374
cluster_UM,4,outer_0,regime,per_timestep,ridge,0.014625891454127887
cluster_UM,4,outer_0,regime,per_timestep,lightgbm,0.35090051976308473
cluster_UM,8,outer_0,static,persistence,persistence,1.0
cluster_UM,8,outer_0,static,persistence,ewma,0.0
cluster_UM,8,outer_0,static,persistence,ridge,0.0
cluster_UM,8,outer_0,static,persistence,lightgbm,0.0
cluster_UM,8,outer_0,regime,per_timestep,persistence,0.7246341758374653
cluster_UM,8,outer_0,regime,per_timestep,ewma,0.023582053452654492
cluster_UM,8,outer_0,regime,per_timestep,ridge,0.017656306687628492
cluster_UM,8,outer_0,regime,per_timestep,lightgbm,0.2341274640222518
cluster_UM,16,outer_0,static,persistence,persistence,1.0
cluster_UM,16,outer_0,static,persistence,ewma,0.0
cluster_UM,16,outer_0,static,persistence,ridge,0.0
cluster_UM,16,outer_0,static,persistence,lightgbm,0.0
cluster_UM,16,outer_0,regime,per_timestep,persistence,0.08376709841423556
cluster_UM,16,outer_0,regime,per_timestep,ewma,0.009563006899891055
cluster_UM,16,outer_0,regime,per_timestep,ridge,0.010531412661905338
cluster_UM,16,outer_0,regime,per_timestep,lightgbm,0.8961384820239681
machine01_UM,1,outer_0,static,ridge,persistence,0.0
machine01_UM,1,outer_0,static,ridge,ewma,0.0
machine01_UM,1,outer_0,static,ridge,ridge,1.0
machine01_UM,1,outer_0,static,ridge,lightgbm,0.0
machine01_UM,1,outer_0,regime,per_timestep,persistence,0.8383276945384244
machine01_UM,1,outer_0,regime,per_timestep,ewma,0.1303769937167714
machine01_UM,1,outer_0,regime,per_timestep,ridge,0.019937167713871436
machine01_UM,1,outer_0,regime,per_timestep,lightgbm,0.011358144030932818
machine01_UM,4,outer_0,static,ridge,persistence,0.0
machine01_UM,4,outer_0,static,ridge,ewma,0.0
machine01_UM,4,outer_0,static,ridge,ridge,1.0
machine01_UM,4,outer_0,static,ridge,lightgbm,0.0
machine01_UM,4,outer_0,regime,per_timestep,persistence,0.8613562190257464
machine01_UM,4,outer_0,regime,per_timestep,ewma,0.07675571135017527
machine01_UM,4,outer_0,regime,per_timestep,ridge,0.02816390668439502
machine01_UM,4,outer_0,regime,per_timestep,lightgbm,0.033724162939683305
machine01_UM,8,outer_0,static,ridge,persistence,0.0
machine01_UM,8,outer_0,static,ridge,ewma,0.0
machine01_UM,8,outer_0,static,ridge,ridge,1.0
machine01_UM,8,outer_0,static,ridge,lightgbm,0.0
machine01_UM,8,outer_0,regime,per_timestep,persistence,0.774579755714113
machine01_UM,8,outer_0,regime,per_timestep,ewma,0.025516991171846658
machine01_UM,8,outer_0,regime,per_timestep,ridge,0.01741443947272947
machine01_UM,8,outer_0,regime,per_timestep,lightgbm,0.18248881364131092
machine01_UM,16,outer_0,static,ridge,persistence,0.0
machine01_UM,16,outer_0,static,ridge,ewma,0.0
machine01_UM,16,outer_0,static,ridge,ridge,1.0
machine01_UM,16,outer_0,static,ridge,lightgbm,0.0
machine01_UM,16,outer_0,regime,per_timestep,persistence,0.7713351894443772
machine01_UM,16,outer_0,regime,per_timestep,ewma,0.03522575959326958
machine01_UM,16,outer_0,regime,per_timestep,ridge,0.02154702820481782
machine01_UM,16,outer_0,regime,per_timestep,lightgbm,0.1718920227575354
machine01_tx_bond0,1,outer_0,static,persistence,persistence,1.0
machine01_tx_bond0,1,outer_0,static,persistence,ewma,0.0
machine01_tx_bond0,1,outer_0,static,persistence,ridge,0.0
machine01_tx_bond0,1,outer_0,static,persistence,lightgbm,0.0
machine01_tx_bond0,1,outer_0,regime,per_timestep,persistence,0.44346313394888265
machine01_tx_bond0,1,outer_0,regime,per_timestep,ewma,0.4779874213836478
machine01_tx_bond0,1,outer_0,regime,per_timestep,ridge,0.0
machine01_tx_bond0,1,outer_0,regime,per_timestep,lightgbm,0.07854944466746956
machine01_tx_bond0,4,outer_0,static,persistence,persistence,1.0
machine01_tx_bond0,4,outer_0,static,persistence,ewma,0.0
machine01_tx_bond0,4,outer_0,static,persistence,ridge,0.0
machine01_tx_bond0,4,outer_0,static,persistence,lightgbm,0.0
machine01_tx_bond0,4,outer_0,regime,per_timestep,persistence,0.4423726523442778
machine01_tx_bond0,4,outer_0,regime,per_timestep,ewma,0.465342521280908
machine01_tx_bond0,4,outer_0,regime,per_timestep,ridge,0.0
machine01_tx_bond0,4,outer_0,regime,per_timestep,lightgbm,0.09228482637481421
machine01_tx_bond0,8,outer_0,static,persistence,persistence,1.0
machine01_tx_bond0,8,outer_0,static,persistence,ewma,0.0
machine01_tx_bond0,8,outer_0,static,persistence,ridge,0.0
machine01_tx_bond0,8,outer_0,static,persistence,lightgbm,0.0
machine01_tx_bond0,8,outer_0,regime,per_timestep,persistence,0.44149445736964554
machine01_tx_bond0,8,outer_0,regime,per_timestep,ewma,0.44737922540030106
machine01_tx_bond0,8,outer_0,regime,per_timestep,ridge,0.0
machine01_tx_bond0,8,outer_0,regime,per_timestep,lightgbm,0.11112631723005337
machine01_tx_bond0,16,outer_0,static,persistence,persistence,1.0
machine01_tx_bond0,16,outer_0,static,persistence,ewma,0.0
machine01_tx_bond0,16,outer_0,static,persistence,ridge,0.0
machine01_tx_bond0,16,outer_0,static,persistence,lightgbm,0.0
machine01_tx_bond0,16,outer_0,regime,per_timestep,persistence,0.4383676903660076
machine01_tx_bond0,16,outer_0,regime,per_timestep,ewma,0.44972654606647033
machine01_tx_bond0,16,outer_0,regime,per_timestep,ridge,0.0
machine01_tx_bond0,16,outer_0,regime,per_timestep,lightgbm,0.11190576356752209
machine01_rx_bond0,1,outer_0,static,lightgbm,persistence,0.0
machine01_rx_bond0,1,outer_0,static,lightgbm,ewma,0.0
machine01_rx_bond0,1,outer_0,static,lightgbm,ridge,0.0
machine01_rx_bond0,1,outer_0,static,lightgbm,lightgbm,1.0
machine01_rx_bond0,1,outer_0,regime,per_timestep,persistence,0.30745736828709597
machine01_rx_bond0,1,outer_0,regime,per_timestep,ewma,0.04403156019343344
machine01_rx_bond0,1,outer_0,regime,per_timestep,ridge,0.024179180453041488
machine01_rx_bond0,1,outer_0,regime,per_timestep,lightgbm,0.6243318910664292
machine01_rx_bond0,4,outer_0,static,lightgbm,persistence,0.0
machine01_rx_bond0,4,outer_0,static,lightgbm,ewma,0.0
machine01_rx_bond0,4,outer_0,static,lightgbm,ridge,0.0
machine01_rx_bond0,4,outer_0,static,lightgbm,lightgbm,1.0
machine01_rx_bond0,4,outer_0,regime,per_timestep,persistence,0.2970208413246388
machine01_rx_bond0,4,outer_0,regime,per_timestep,ewma,0.027873673443293695
machine01_rx_bond0,4,outer_0,regime,per_timestep,ridge,0.07300856667945275
machine01_rx_bond0,4,outer_0,regime,per_timestep,lightgbm,0.6020969185526147
machine01_rx_bond0,8,outer_0,static,lightgbm,persistence,0.0
machine01_rx_bond0,8,outer_0,static,lightgbm,ewma,0.0
machine01_rx_bond0,8,outer_0,static,lightgbm,ridge,0.0
machine01_rx_bond0,8,outer_0,static,lightgbm,lightgbm,1.0
machine01_rx_bond0,8,outer_0,regime,per_timestep,persistence,0.30490158240061754
machine01_rx_bond0,8,outer_0,regime,per_timestep,ewma,0.038852437926154636
machine01_rx_bond0,8,outer_0,regime,per_timestep,ridge,0.027917149105879325
machine01_rx_bond0,8,outer_0,regime,per_timestep,lightgbm,0.6283288305673486
machine01_rx_bond0,16,outer_0,static,lightgbm,persistence,0.0
machine01_rx_bond0,16,outer_0,static,lightgbm,ewma,0.0
machine01_rx_bond0,16,outer_0,static,lightgbm,ridge,0.0
machine01_rx_bond0,16,outer_0,static,lightgbm,lightgbm,1.0
machine01_rx_bond0,16,outer_0,regime,per_timestep,persistence,0.28474664582519216
machine01_rx_bond0,16,outer_0,regime,per_timestep,ewma,0.004689331770222743
machine01_rx_bond0,16,outer_0,regime,per_timestep,ridge,0.014328513742347272
machine01_rx_bond0,16,outer_0,regime,per_timestep,lightgbm,0.6962355086622378
averageRttWithGoogleDns,1,outer_0,static,ewma,persistence,0.0
averageRttWithGoogleDns,1,outer_0,static,ewma,ewma,1.0
averageRttWithGoogleDns,1,outer_0,static,ewma,ridge,0.0
averageRttWithGoogleDns,1,outer_0,static,ewma,lightgbm,0.0
averageRttWithGoogleDns,1,outer_0,regime,per_timestep,persistence,0.4466268146883006
averageRttWithGoogleDns,1,outer_0,regime,per_timestep,ewma,0.5530071977552763
averageRttWithGoogleDns,1,outer_0,regime,per_timestep,ridge,0.0
averageRttWithGoogleDns,1,outer_0,regime,per_timestep,lightgbm,0.0003659875564230816
averageRttWithGoogleDns,4,outer_0,static,ewma,persistence,0.0
averageRttWithGoogleDns,4,outer_0,static,ewma,ewma,1.0
averageRttWithGoogleDns,4,outer_0,static,ewma,ridge,0.0
averageRttWithGoogleDns,4,outer_0,static,ewma,lightgbm,0.0
averageRttWithGoogleDns,4,outer_0,regime,per_timestep,persistence,0.5141670737664875
averageRttWithGoogleDns,4,outer_0,regime,per_timestep,ewma,0.4849780166096727
averageRttWithGoogleDns,4,outer_0,regime,per_timestep,ridge,0.0
averageRttWithGoogleDns,4,outer_0,regime,per_timestep,lightgbm,0.0008549096238397655
averageRttWithGoogleDns,8,outer_0,static,ewma,persistence,0.0
averageRttWithGoogleDns,8,outer_0,static,ewma,ewma,1.0
averageRttWithGoogleDns,8,outer_0,static,ewma,ridge,0.0
averageRttWithGoogleDns,8,outer_0,static,ewma,lightgbm,0.0
averageRttWithGoogleDns,8,outer_0,regime,per_timestep,persistence,0.46978962818003916
averageRttWithGoogleDns,8,outer_0,regime,per_timestep,ewma,0.5299657534246576
averageRttWithGoogleDns,8,outer_0,regime,per_timestep,ridge,0.0
averageRttWithGoogleDns,8,outer_0,regime,per_timestep,lightgbm,0.0002446183953033268
averageRttWithGoogleDns,16,outer_0,static,ewma,persistence,0.0
averageRttWithGoogleDns,16,outer_0,static,ewma,ewma,1.0
averageRttWithGoogleDns,16,outer_0,static,ewma,ridge,0.0
averageRttWithGoogleDns,16,outer_0,static,ewma,lightgbm,0.0
averageRttWithGoogleDns,16,outer_0,regime,per_timestep,persistence,0.4479882237487733
averageRttWithGoogleDns,16,outer_0,regime,per_timestep,ewma,0.40088321884200195
averageRttWithGoogleDns,16,outer_0,regime,per_timestep,ridge,0.0
averageRttWithGoogleDns,16,outer_0,regime,per_timestep,lightgbm,0.15112855740922473
jitterWithGoogleDns,1,outer_0,static,ewma,persistence,0.0
jitterWithGoogleDns,1,outer_0,static,ewma,ewma,1.0
jitterWithGoogleDns,1,outer_0,static,ewma,ridge,0.0
jitterWithGoogleDns,1,outer_0,static,ewma,lightgbm,0.0
jitterWithGoogleDns,1,outer_0,regime,per_timestep,persistence,0.7156276686592656
jitterWithGoogleDns,1,outer_0,regime,per_timestep,ewma,0.28376235208002926
jitterWithGoogleDns,1,outer_0,regime,per_timestep,ridge,0.0
jitterWithGoogleDns,1,outer_0,regime,per_timestep,lightgbm,0.000609979260705136
jitterWithGoogleDns,4,outer_0,static,ewma,persistence,0.0
jitterWithGoogleDns,4,outer_0,static,ewma,ewma,1.0
jitterWithGoogleDns,4,outer_0,static,ewma,ridge,0.0
jitterWithGoogleDns,4,outer_0,static,ewma,lightgbm,0.0
jitterWithGoogleDns,4,outer_0,regime,per_timestep,persistence,0.716780654616512
jitterWithGoogleDns,4,outer_0,regime,per_timestep,ewma,0.2804103566194431
jitterWithGoogleDns,4,outer_0,regime,per_timestep,ridge,0.0
jitterWithGoogleDns,4,outer_0,regime,per_timestep,lightgbm,0.0028089887640449437
jitterWithGoogleDns,8,outer_0,static,ewma,persistence,0.0
jitterWithGoogleDns,8,outer_0,static,ewma,ewma,1.0
jitterWithGoogleDns,8,outer_0,static,ewma,ridge,0.0
jitterWithGoogleDns,8,outer_0,static,ewma,lightgbm,0.0
jitterWithGoogleDns,8,outer_0,regime,per_timestep,persistence,0.7438845401174168
jitterWithGoogleDns,8,outer_0,regime,per_timestep,ewma,0.25220156555772993
jitterWithGoogleDns,8,outer_0,regime,per_timestep,ridge,0.0
jitterWithGoogleDns,8,outer_0,regime,per_timestep,lightgbm,0.003913894324853229
jitterWithGoogleDns,16,outer_0,static,ewma,persistence,0.0
jitterWithGoogleDns,16,outer_0,static,ewma,ewma,1.0
jitterWithGoogleDns,16,outer_0,static,ewma,ridge,0.0
jitterWithGoogleDns,16,outer_0,static,ewma,lightgbm,0.0
jitterWithGoogleDns,16,outer_0,regime,per_timestep,persistence,0.7649656526005888
jitterWithGoogleDns,16,outer_0,regime,per_timestep,ewma,0.21258586849852798
jitterWithGoogleDns,16,outer_0,regime,per_timestep,ridge,0.0
jitterWithGoogleDns,16,outer_0,regime,per_timestep,lightgbm,0.02244847890088322
machine01_DWT,1,outer_0,static,lightgbm,persistence,0.0
machine01_DWT,1,outer_0,static,lightgbm,ewma,0.0
machine01_DWT,1,outer_0,static,lightgbm,ridge,0.0
machine01_DWT,1,outer_0,static,lightgbm,lightgbm,1.0
machine01_DWT,1,outer_0,regime,per_timestep,persistence,0.3263566863015415
machine01_DWT,1,outer_0,regime,per_timestep,ewma,0.5016919413460333
machine01_DWT,1,outer_0,regime,per_timestep,ridge,0.0
machine01_DWT,1,outer_0,regime,per_timestep,lightgbm,0.1719513723524251
machine01_DWT,4,outer_0,static,lightgbm,persistence,0.0
machine01_DWT,4,outer_0,static,lightgbm,ewma,0.0
machine01_DWT,4,outer_0,static,lightgbm,ridge,0.0
machine01_DWT,4,outer_0,static,lightgbm,lightgbm,1.0
machine01_DWT,4,outer_0,regime,per_timestep,persistence,0.3751415272361303
machine01_DWT,4,outer_0,regime,per_timestep,ewma,0.47641212731161153
machine01_DWT,4,outer_0,regime,per_timestep,ridge,0.0
machine01_DWT,4,outer_0,regime,per_timestep,lightgbm,0.14844634545225815
machine01_DWT,8,outer_0,static,lightgbm,persistence,0.0
machine01_DWT,8,outer_0,static,lightgbm,ewma,0.0
machine01_DWT,8,outer_0,static,lightgbm,ridge,0.0
machine01_DWT,8,outer_0,static,lightgbm,lightgbm,1.0
machine01_DWT,8,outer_0,regime,per_timestep,persistence,0.29915286382602096
machine01_DWT,8,outer_0,regime,per_timestep,ewma,0.5077759514477178
machine01_DWT,8,outer_0,regime,per_timestep,ridge,0.0
machine01_DWT,8,outer_0,regime,per_timestep,lightgbm,0.19307118472626122
machine01_DWT,16,outer_0,static,ewma,persistence,0.0
machine01_DWT,16,outer_0,static,ewma,ewma,1.0
