hierarchy,model,horizon,outer_fold,method,top_mae,top_mae_vs_indep,top_mae_rel,bottom_mae_macro,worst_child_mae,coherence_error,coherent,adjustment_mae
bond0_transmitted_acamas,lightgbm,1,outer_0,independent,47.313497389857524,0.0,1.0,11.929892175673894,47.71864081930584,9.869955545038337,False,0.0
bond0_transmitted_acamas,lightgbm,1,outer_0,bottom_up,47.716589437717616,0.4030920478600919,1.0085195994821237,11.929892175673894,47.71864081930584,0.0,True,9.869955545038337
bond0_transmitted_acamas,lightgbm,1,outer_0,top_down,47.313497389857524,0.0,1.0,11.832178969978624,47.316614598875475,2.3228903263478526e-12,True,2.4694744322035516
bond0_transmitted_acamas,lightgbm,1,outer_0,ols,47.11406559515895,-0.19943179469857597,0.9957848858000228,13.322437169233527,47.36778045699177,0.0,True,3.947982218015334
bond0_transmitted_acamas,lightgbm,1,outer_0,wls,47.08285059982879,-0.2306467900287359,0.9951251375875211,11.771420828184487,47.08475542953158,0.0,True,6.185319079679502
bond0_transmitted_acamas,lightgbm,1,outer_0,mint,47.08682557172233,-0.22667181813519477,0.9952091510744292,11.772416619166945,47.08873706243129,0.0,True,6.2498361746894435
bond0_transmitted_acamas,lightgbm,1,outer_0,bottom_up_nn,46.345141222149884,-0.9683561677076398,0.979533194096211,11.58702851000143,46.34719572385164,0.0,True,10.52203675669369
bond0_transmitted_acamas,lightgbm,1,outer_0,ols_nn,47.06736051812688,-0.24613687173064136,0.9947977451401975,12.258881346379201,46.093013287256206,0.0,True,7.4742071651818796
bond0_transmitted_acamas,lightgbm,1,outer_1,independent,44.959222850113484,0.0,1.0,11.324099288959367,45.295475384278504,10.117610835606772,False,0.0
bond0_transmitted_acamas,lightgbm,1,outer_1,bottom_up,45.29544648062508,0.3362236305115971,1.0074784128638636,11.324099288959367,45.295475384278504,0.0,True,10.117610835606772
bond0_transmitted_acamas,lightgbm,1,outer_1,top_down,44.959222850113484,0.0,1.0,11.241882103104404,44.96065781127864,1.885527919249297e-12,True,2.53054463327699
bond0_transmitted_acamas,lightgbm,1,outer_1,ols,44.80732462507801,-0.1518982250354739,0.9966214223599488,12.77156163327162,45.015714374127676,0.0,True,4.047044334242708
bond0_transmitted_acamas,lightgbm,1,outer_1,wls,44.787508975849185,-0.17171387426429874,0.9961806752123638,11.197143146892087,44.78765081599914,0.0,True,6.304249834915238
bond0_transmitted_acamas,lightgbm,1,outer_1,mint,44.784354041079105,-0.17486880903437907,0.9961105019626927,11.196354011179425,44.78449377637697,0.0,True,6.228566934708251
bond0_transmitted_acamas,lightgbm,1,outer_1,bottom_up_nn,44.83261059301269,-0.1266122571007955,0.9971838424004147,11.20838936241048,44.83263928539181,0.0,True,10.26236183337715
bond0_transmitted_acamas,lightgbm,1,outer_1,ols_nn,45.408407174620784,0.44918432450729995,1.0099909272454466,11.964447782058917,44.60515995384555,0.0,True,6.556038252670604
bond0_transmitted_acamas,lightgbm,1,outer_2,independent,55.383498557507004,0.0,1.0,13.886190604308162,55.5438517409053,12.625725412263144,False,0.0
bond0_transmitted_acamas,lightgbm,1,outer_2,bottom_up,55.54609288830326,0.16259433079625296,1.002935790172725,13.886190604308162,55.5438517409053,0.0,True,12.625725412263144
bond0_transmitted_acamas,lightgbm,1,outer_2,top_down,55.383498557507004,0.0,1.0,13.847363034749417,55.355100428974595,8.972662446714391e-12,True,3.170875351855754
bond0_transmitted_acamas,lightgbm,1,outer_2,ols,55.19359559682911,-0.18990296067789103,0.9965711274003265,15.720019979421302,55.304470276617565,0.0,True,5.050290164905255
bond0_transmitted_acamas,lightgbm,1,outer_2,wls,55.127956229874066,-0.2555423276329378,0.9953859482645793,13.781629614464,55.12560778152457,0.0,True,7.957541755874106
bond0_transmitted_acamas,lightgbm,1,outer_2,mint,55.134608869792004,-0.24888968771499975,0.9955060677964112,13.783294989925853,55.13226910657817,0.0,True,8.218208114707124
bond0_transmitted_acamas,lightgbm,1,outer_2,bottom_up_nn,55.18713079294317,-0.19636776456383132,0.9964543994207962,13.79644886334715,55.18488796206437,0.0,True,12.691785186392789
bond0_transmitted_acamas,lightgbm,1,outer_2,ols_nn,56.86656465536778,1.4830660978607781,1.0267781223015524,14.65859478340468,54.99302115503906,0.0,True,8.293700094934614
bond0_transmitted_acamas,lightgbm,8,outer_0,independent,46.85869593529317,0.0,1.0,11.63905207661218,46.55528464379405,8.412650381460436,False,0.0
bond0_transmitted_acamas,lightgbm,8,outer_0,bottom_up,46.553425339663654,-0.30527059562951564,0.9934852946814597,11.63905207661218,46.55528464379405,0.0,True,8.412650381460436
bond0_transmitted_acamas,lightgbm,8,outer_0,top_down,46.85869593529317,0.0,1.0,11.717719099609436,46.86258134370901,1.7879097796266133e-12,True,2.1049969288793333
bond0_transmitted_acamas,lightgbm,8,outer_0,ols,46.57126468524789,-0.28743125004528025,0.9938659998041305,12.85579872312128,46.37558937995816,0.0,True,3.3650601525841743
bond0_transmitted_acamas,lightgbm,8,outer_0,wls,46.32826475208771,-0.530431183205458,0.9886801975040465,11.582745750378265,46.33005933885832,0.0,True,5.408053277209475
bond0_transmitted_acamas,lightgbm,8,outer_0,mint,46.31478616696714,-0.5439097683260314,0.9883925543067371,11.579371936744884,46.316562910570404,0.0,True,6.019305905363879
bond0_transmitted_acamas,lightgbm,8,outer_0,bottom_up_nn,45.05528203975214,-1.803413895541027,0.96151378395098,11.26451473251978,45.057144414608736,0.0,True,9.292838178921313
bond0_transmitted_acamas,lightgbm,8,outer_0,ols_nn,45.94209465208043,-0.9166012832127421,0.9804390355959015,11.920566444360556,44.970980901095054,0.0,True,6.611313046449897
bond0_transmitted_acamas,lightgbm,8,outer_1,independent,44.49746174007311,0.0,1.0,10.986066672815413,43.943341033896324,10.787378478662772,False,0.0
bond0_transmitted_acamas,lightgbm,8,outer_1,bottom_up,43.94364029891614,-0.5538214411569768,0.9875538644340646,10.986066672815413,43.943341033896324,0.0,True,10.787378478662772
bond0_transmitted_acamas,lightgbm,8,outer_1,top_down,44.49746174007311,0.0,1.0,11.125852436350586,44.49776679511314,1.4012560146311872e-12,True,2.6980272672278915
bond0_transmitted_acamas,lightgbm,8,outer_1,ols,44.12714950305265,-0.3703122370204639,0.9916779020074538,12.568738835333384,43.80257302346881,0.0,True,4.314951391465106
bond0_transmitted_acamas,lightgbm,8,outer_1,wls,43.826600869312465,-0.6708608707606487,0.98492361486416,10.956832803944117,43.826405558432455,0.0,True,6.720253960470746
bond0_transmitted_acamas,lightgbm,8,outer_1,mint,43.832787317457324,-0.6646744226157892,0.985062644100951,10.958380632898349,43.8325960363371,0.0,True,6.634836256825246
bond0_transmitted_acamas,lightgbm,8,outer_1,bottom_up_nn,43.43051270698163,-1.0669490330914826,0.9760222495538298,10.857783853628693,43.43021302186194,0.0,True,10.938529776897992
bond0_transmitted_acamas,lightgbm,8,outer_1,ols_nn,44.72556531016073,0.22810357008761883,1.0051262153203269,11.58109273443883,43.355428109241316,0.0,True,7.373947771534958
bond0_transmitted_acamas,lightgbm,8,outer_2,independent,54.4950916871225,0.0,1.0,13.653484270703505,54.613026279223355,12.03853530808724,False,0.0
bond0_transmitted_acamas,lightgbm,8,outer_2,bottom_up,54.615577339998204,0.12048565287570057,1.0022109450437748,13.653484270703505,54.613026279223355,0.0,True,12.03853530808724
bond0_transmitted_acamas,lightgbm,8,outer_2,top_down,54.4950916871225,0.0,1.0,13.624044408458055,54.49130901912356,1.4923828853958407e-12,True,3.0101422252826695
bond0_transmitted_acamas,lightgbm,8,outer_2,ols,54.306128210460514,-0.1889634766619892,0.9965324679560702,15.399942291277767,54.37660658825636,0.0,True,4.815414123234893
bond0_transmitted_acamas,lightgbm,8,outer_2,wls,54.23557153475764,-0.25952015236486403,0.9952377334484568,13.55844362175921,54.232863683438495,0.0,True,7.535498766442992
bond0_transmitted_acamas,lightgbm,8,outer_2,mint,54.23617916165866,-0.2589125254638418,0.9952488835700954,13.558595152211963,54.23346974092252,0.0,True,7.580834387177727
bond0_transmitted_acamas,lightgbm,8,outer_2,bottom_up_nn,54.310763731965814,-0.18432795515668943,0.9966175310573843,13.577279401667296,54.3082103690214,0.0,True,12.07769112485274
bond0_transmitted_acamas,lightgbm,8,outer_2,ols_nn,55.88362944341579,1.3885377562932888,1.025480051749714,14.424615953184603,54.11910159789621,0.0,True,7.779842571405808
bond0_transmitted_acamas,persistence,1,outer_0,independent,49.813159476236564,0.0,1.0,12.454417298749126,49.81304989656455,0.007129517533391713,False,0.0
bond0_transmitted_acamas,persistence,1,outer_0,bottom_up,49.81345371948256,0.0002942432459960287,1.0000059069380278,12.454417298749126,49.81304989656455,0.0,True,0.007129517533391713
bond0_transmitted_acamas,persistence,1,outer_0,top_down,49.813159476236564,0.0,1.0,12.454347426152221,49.81277170187151,9.992001279043647e-13,True,0.0017823793835932168
bond0_transmitted_acamas,persistence,1,outer_0,ols,49.81321707594512,5.7599708554789686e-05,1.0000011563151014,12.454966207475643,49.81299295106297,0.0,True,0.002851807013351584
bond0_transmitted_acamas,persistence,1,outer_0,wls,49.813305259683126,0.00014578344656257514,1.0000029266050998,12.454381930844155,49.8129084248916,0.0,True,0.004455947979879309
bond0_transmitted_acamas,persistence,1,outer_0,mint,49.81330525778596,0.0001457815493992598,1.0000029265670143,12.454381930481171,49.81290842314288,0.0,True,0.004455913478369351
bond0_transmitted_acamas,persistence,1,outer_0,bottom_up_nn,49.81345371948256,0.0002942432459960287,1.0000059069380278,12.454417298749126,49.81304989656455,0.0,True,0.007129517533391713
bond0_transmitted_acamas,persistence,1,outer_0,ols_nn,49.81333037249415,0.00017089625758615057,1.0000034307451964,12.454506820376842,49.81299295106297,0.0,True,0.004229968309754246
bond0_transmitted_acamas,persistence,1,outer_1,independent,39.078021413551674,0.0,1.0,9.770643985860389,39.077952396896414,0.007056239145266757,False,0.0
bond0_transmitted_acamas,persistence,1,outer_1,bottom_up,39.078438363282835,0.00041694973116079836,1.0000106696735422,9.770643985860389,39.077952396896414,0.0,True,0.007056239145266757
bond0_transmitted_acamas,persistence,1,outer_1,top_down,39.078021413551674,0.0,1.0,9.770547122642782,39.07756690747888,9.999448223582008e-13,True,0.0017640597865625366
bond0_transmitted_acamas,persistence,1,outer_1,ols,39.07810206564711,8.065209543417495e-05,1.0000020638735667,9.771171192989991,39.077873227803465,0.0,True,0.0028224956581004313
bond0_transmitted_acamas,persistence,1,outer_1,wls,39.07822561115824,0.0002041976065640938,1.0000052253824319,9.770595111359606,39.07775689889199,0.0,True,0.0044101573702368954
bond0_transmitted_acamas,persistence,1,outer_1,mint,39.078225612444605,0.00020419889293066262,1.0000052254153498,9.770595111659825,39.07775690008563,0.0,True,0.0044101744461101326
bond0_transmitted_acamas,persistence,1,outer_1,bottom_up_nn,39.078438363282835,0.00041694973116079836,1.0000106696735422,9.770643985860389,39.077952396896414,0.0,True,0.007056239145266757
bond0_transmitted_acamas,persistence,1,outer_1,ols_nn,39.07825190545646,0.00023049190478729997,1.000005898249104,9.770711918585958,39.077873227803465,0.0,True,0.004200318870197034
bond0_transmitted_acamas,persistence,1,outer_2,independent,55.263729857155,0.0,1.0,13.817129848533012,55.263900530827875,0.007645093355916283,False,0.0
bond0_transmitted_acamas,persistence,1,outer_2,bottom_up,55.26402558961404,0.000295732459044018,1.000005351293874,13.817129848533012,55.263900530827875,0.0,True,0.007645093355916283
bond0_transmitted_acamas,persistence,1,outer_2,top_down,55.263729857155,0.0,1.0,13.817062623196344,55.263633509202926,9.99374501019902e-13,True,0.0019112733392201596
bond0_transmitted_acamas,persistence,1,outer_2,ols,55.26378478880055,5.4931645550482244e-05,1.0000009939909176,13.817747641609259,55.2638459319333,0.0,True,0.0030580373423605423
bond0_transmitted_acamas,persistence,1,outer_2,wls,55.26387023695859,0.00014037980358949653,1.0000025401796793,13.81709593230172,55.26376486589948,0.0,True,0.004778192836633436
bond0_transmitted_acamas,persistence,1,outer_2,mint,55.26387023798228,0.0001403808272826268,1.0000025401982031,13.817095932543737,55.26376486684997,0.0,True,0.004778210271220468
bond0_transmitted_acamas,persistence,1,outer_2,bottom_up_nn,55.26402558961404,0.000295732459044018,1.000005351293874,13.817129848533012,55.263900530827875,0.0,True,0.007645093355916283
bond0_transmitted_acamas,persistence,1,outer_2,ols_nn,55.26399131626641,0.00026145911141384204,1.000004731115907,13.817238380096473,55.2638459319333,0.0,True,0.004585821880720943
