family,held_out_machine,method,horizon,mae,mase
CU,machine07,global_residual_cal256,1,1.169225008198209,
CU,machine07,global_residual_cal256,8,1.160731844478538,
CU,machine07,global_residual_cal64,1,1.6468599423417745,
CU,machine07,global_residual_cal64,8,1.632266487928929,
CU,machine07,global_residual_no_head,1,1.2833069954973608,
CU,machine07,global_residual_no_head,8,1.285605903244729,
CU,machine07,persistence_local,1,1.6105412175952407,
CU,machine07,persistence_local,8,1.6117218166677822,
UM,machine01,global_onehot,1,10255698161.865694,31.531136903768697
UM,machine01,global_onehot,8,10255925400.474625,31.529445911658765
UM,machine01,global_pooled,1,2747141323.074825,8.628983457071433
UM,machine01,global_pooled,8,2746678449.3661213,8.626696816195272
UM,machine01,global_residual_cal0,1,10255698161.865694,31.531136903768697
UM,machine01,global_residual_cal0,8,10255925400.474625,31.529445911658765
UM,machine01,global_residual_cal1024,1,788054763.3957571,2.5880921100005314
UM,machine01,global_residual_cal1024,8,497499440.70714444,1.5971242563232553
UM,machine01,global_residual_cal256,1,1170090969.4334264,3.794012471534774
UM,machine01,global_residual_cal256,8,1197895928.06217,3.8794653467229074
UM,machine01,global_residual_cal64,1,1873914896.5522964,6.158832793702982
UM,machine01,global_residual_cal64,8,3966024640.4725766,13.282371782973106
UM,machine01,global_residual_no_head,1,10255698161.865694,31.531136903768697
UM,machine01,global_residual_no_head,8,10255925400.474625,31.529445911658765
UM,machine01,persistence_local,1,314779278.516714,0.9934274799547529
UM,machine01,persistence_local,8,314723971.87190145,0.9931818175854895
UM,machine02,global_onehot,1,20855834981.723816,133.55418550397505
UM,machine02,global_onehot,8,20857407344.92242,133.56364765863464
UM,machine02,global_pooled,1,3870271183.5931697,24.799721835814296
UM,machine02,global_pooled,8,3869834431.4741397,24.796948328502783
UM,machine02,global_residual_cal0,1,20855834981.723816,133.55418550397505
UM,machine02,global_residual_cal0,8,20857407344.92242,133.56364765863464
UM,machine02,global_residual_cal1024,1,481791744.8978023,3.118428836526466
UM,machine02,global_residual_cal1024,8,480853502.64418584,3.1122964926712684
UM,machine02,global_residual_cal256,1,562725390.1831973,3.6321162734339016
UM,machine02,global_residual_cal256,8,599357564.3039665,3.8689520711849945
UM,machine02,global_residual_cal64,1,1136275856.4937472,7.340617322474924
UM,machine02,global_residual_cal64,8,1620211622.6665666,10.455415555661892
UM,machine02,global_residual_no_head,1,20855834981.723816,133.55418550397505
UM,machine02,global_residual_no_head,8,20857407344.92242,133.56364765863464
UM,machine02,persistence_local,1,123046110.63379057,0.7922934378757353
UM,machine02,persistence_local,8,123107086.97186191,0.7926868513808071
UM,machine03,global_onehot,1,10327684933.222416,33.74497907504018
UM,machine03,global_onehot,8,10324214786.654764,33.73113719738166
UM,machine03,global_pooled,1,3146448825.7777877,10.531174835829724
UM,machine03,global_pooled,8,3143466250.8045464,10.519238830698711
UM,machine03,global_residual_cal0,1,10327684933.222416,33.74497907504018
UM,machine03,global_residual_cal0,8,10324214786.654764,33.73113719738166
UM,machine03,global_residual_cal1024,1,894431764.0658718,3.09681820511885
UM,machine03,global_residual_cal1024,8,504827499.6349704,1.665001446163976
UM,machine03,global_residual_cal256,1,3021919538.454745,10.790997651774576
UM,machine03,global_residual_cal256,8,779264898.4239002,2.550573304444934
UM,machine03,global_residual_cal64,1,8877173894.558363,32.18557830562934
UM,machine03,global_residual_cal64,8,1347684627.9970207,4.397680229758247
UM,machine03,global_residual_no_head,1,10327684933.222416,33.74497907504018
UM,machine03,global_residual_no_head,8,10324214786.654764,33.73113719738166
UM,machine03,persistence_local,1,376448583.12182266,1.2440681084307657
